Title,Year,Type,Genres,Platform,Rating,Language
Nayakan Origin 25,1998,TV Series,"History, Romance",Netflix,7.3,Tamil
Vikrama Returns 50,1999,Movie,"Action, Sci-Fi, Crime",Hulu,9.2,Kannada
Yathra Rebirth 2,1996,Movie,Mystery,Apple TV+,7.7,Malayalam
Sankranti Origin 1,2016,Movie,"Romance, Biography",SonyLIV,4.5,Kannada
Yuddham Legacy 61,2007,Movie,"Mystery, Animation",Amazon Prime,4.5,Telugu
Raaz Legacy 10,1996,Movie,Horror,Disney+,7.7,Hindi
War for Chronicles 55,2006,Movie,Sci-Fi,Apple TV+,9.5,English
Snehithan Forever 47,2014,Movie,"Comedy, History",Planet Marathi,8.2,Malayalam
Apna Part 2 48,2015,Movie,"Sci-Fi, Biography",Theatrical,6.3,Hindi
Nayak Story 76,1995,TV Series,"Crime, Thriller",Theatrical,4.3,Kannada
Puli Rebirth 15,1995,Movie,"Fantasy, Mystery",HBO Max,4.2,Tamil
Baba Part 2 97,2023,Movie,Comedy,Disney+,5.5,Marathi
Katha Part 1 57,2001,TV Series,"Thriller, Fantasy",Theatrical,9.2,Marathi
Vikrama Evolution 60,1991,Movie,"Horror, Fantasy",Disney+,9.3,Kannada
Veeram Rebirth 79,1996,Movie,"Biography, History, Drama",Hulu,4.9,Tamil
Maitri Rebirth 48,2012,TV Series,"Fantasy, Thriller",Hulu,8.9,Marathi
Dost Chronicles 61,1991,Movie,Mystery,Theatrical,9.2,Hindi
Yuddha Part 2 14,2021,Movie,"Crime, History, Romance",Theatrical,8.2,Kannada
Preethi Chronicles 1,2019,Movie,"Comedy, Action, Thriller",Theatrical,8.4,Kannada
Snehithan Legacy 94,2000,Movie,"Drama, Sci-Fi, Thriller",Disney+,6.5,Malayalam
Asuran Part 1 33,1997,Movie,"Mystery, Romance, Sci-Fi",HBO Max,8.1,Tamil
Katha Returns 53,1990,Movie,"Sci-Fi, Crime, Horror",Planet Marathi,4.7,Malayalam
Vat Forever 5,2002,Movie,"Animation, Mystery, Fantasy",HBO Max,6.2,Marathi
Yuddham Legacy 65,2017,Movie,"Biography, Comedy",Disney+,7.2,Telugu
Safar Rebirth 52,2008,Movie,"Animation, Horror, Action",SonyLIV,5.2,Hindi
Goshta Evolution 50,2023,Movie,Animation,Amazon Prime,6.9,Marathi
Raaz Legacy 63,2022,TV Series,"Fantasy, History",Hulu,8.5,Hindi
Zindagi Story 13,2008,TV Series,"Horror, Mystery",Planet Marathi,6.7,Hindi
Puli Chronicles 81,2005,Movie,"Biography, Comedy, Action",Netflix,5.0,Tamil
The Last Part 2 31,2020,TV Series,Romance,Netflix,5.1,English
Drishyam Returns 8,1998,TV Series,"Action, History",HBO Max,4.1,Malayalam
Apna Part 1 65,1990,Movie,"Fantasy, Crime",HBO Max,9.3,Hindi
Jung Part 1 71,2023,TV Series,"Romance, Drama",Hulu,7.3,Hindi
Veeram Story 30,1997,TV Series,"Fantasy, Romance, Animation",SonyLIV,8.6,Tamil
Baba Evolution 35,1997,TV Series,Biography,Disney+,5.2,Marathi
Snehithan Part 2 81,2016,Movie,"Animation, Biography",Hulu,5.7,Malayalam
Veedu Legacy 1,2003,Movie,"Drama, Sci-Fi",HBO Max,8.2,Malayalam
Ladhai Legacy 60,2016,TV Series,"Biography, Crime, Drama",SonyLIV,5.1,Marathi
War for Legacy 35,2024,Movie,Crime,HBO Max,7.6,English
Dharma Forever 13,1998,TV Series,Crime,Hulu,9.0,Telugu
Lost in Story 37,1990,TV Series,"Action, Drama, Romance",Theatrical,6.4,English
Yaara Part 1 82,2021,TV Series,"Biography, Thriller, Sci-Fi",Planet Marathi,6.3,Hindi
Snehithan Origin 53,2021,TV Series,Drama,Amazon Prime,5.8,Malayalam
Kadhal Origin 68,1995,Movie,Action,MX Player,6.4,Tamil
Yuddha Legacy 13,1996,TV Series,Thriller,MX Player,7.9,Kannada
Vetrimaran Part 2 58,1997,Movie,"Mystery, Sci-Fi",Netflix,7.1,Tamil
Vetrimaran Part 2 69,1999,Movie,Drama,SonyLIV,5.9,Tamil
Preethi Chronicles 29,1996,TV Series,"Drama, Action, Fantasy",Amazon Prime,8.1,Kannada
Shadow of Rebirth 75,1993,Movie,Drama,MX Player,8.0,English
Goshta Part 2 78,2020,Movie,"Horror, Fantasy, Comedy",Netflix,6.6,Marathi
Veeram Rebirth 62,2014,Movie,"Action, Comedy",Disney+,4.4,Tamil
Nayakan Forever 66,2021,TV Series,Thriller,SonyLIV,6.0,Tamil
Ammayum Rebirth 58,2005,TV Series,"Drama, History",SonyLIV,4.2,Malayalam
Puli Rebirth 23,1996,TV Series,"Thriller, History, Action",Hulu,9.3,Tamil
Nayak Rebirth 61,2019,TV Series,"Sci-Fi, Mystery",Hulu,6.6,Kannada
Veedu Part 1 20,1997,TV Series,"Romance, Mystery, Sci-Fi",Apple TV+,7.2,Malayalam
Singam Returns 34,2008,TV Series,Crime,HBO Max,5.7,Tamil
Raja Forever 36,1999,Movie,"Horror, Romance, Mystery",MX Player,7.5,Kannada
Sarkar Legacy 1,1995,Movie,"Mystery, Comedy",Theatrical,5.0,Tamil
Secret Evolution 55,1993,Movie,Crime,HBO Max,9.0,English
The Last Origin 66,1999,Movie,"Sci-Fi, Action, Mystery",Theatrical,7.9,English
Jung Rebirth 72,2020,TV Series,"Animation, Fantasy",Hulu,6.0,Hindi
Nayakudu Returns 93,2000,Movie,"Animation, Comedy",Netflix,5.4,Telugu
Goshta Part 2 2,2022,Movie,"Thriller, History, Mystery",Amazon Prime,4.6,Marathi
Sarkar Part 2 11,2011,Movie,Animation,Theatrical,6.7,Tamil
Yuddham Forever 19,1997,TV Series,"Mystery, Romance",HBO Max,8.9,Telugu
Kahaani Evolution 38,2000,TV Series,"Sci-Fi, Horror",Netflix,4.6,Hindi
Apna Chronicles 51,2002,TV Series,"Mystery, Action",MX Player,5.3,Hindi
Shadow of Legacy 81,2011,TV Series,"Animation, History, Drama",SonyLIV,4.4,English
Anbu Story 76,2017,TV Series,Drama,MX Player,7.6,Tamil
Shadow of Rebirth 86,2026,TV Series,Biography,Amazon Prime,0.0,English
Aai Story 89,1999,TV Series,"Romance, Drama, Animation",Amazon Prime,7.2,Marathi
Nayakudu Chronicles 35,2025,TV Series,"Mystery, Sci-Fi",Theatrical,0.0,Telugu
Beyond the Chronicles 61,2020,TV Series,Mystery,MX Player,5.3,English
Simha Story 88,2003,Movie,"Sci-Fi, Animation",MX Player,7.2,Kannada
KGF Forever 59,2026,TV Series,"Fantasy, Drama, Crime",Theatrical,0.0,Kannada
Secret Rebirth 23,2024,Movie,"Biography, Horror",Hulu,8.7,English
Nayakudu Rebirth 3,2024,TV Series,Animation,HBO Max,8.3,Telugu
Snehithan Chronicles 74,2020,Movie,Sci-Fi,Hulu,5.8,Malayalam
Empire of Part 1 17,2022,TV Series,Mystery,Planet Marathi,5.6,English
Secret Part 1 84,2004,Movie,"Romance, Fantasy",Netflix,4.4,English
Apna Story 21,2013,Movie,Fantasy,Netflix,7.5,Hindi
Journey to Legacy 56,2008,TV Series,"Fantasy, Drama, Animation",Netflix,5.2,English
Drishyam Legacy 25,1994,TV Series,"Crime, Biography, History",HBO Max,6.8,Malayalam
Singam Legacy 68,2007,TV Series,"History, Animation",SonyLIV,7.1,Tamil
Empire of Returns 3,2024,TV Series,Animation,Theatrical,6.1,English
Thalaiva Part 1 57,1996,TV Series,Mystery,HBO Max,8.3,Tamil
Prem Returns 98,2018,Movie,"Comedy, Drama",Hulu,8.4,Hindi
Katha Story 47,2001,TV Series,"History, Crime, Fantasy",Amazon Prime,5.7,Marathi
Vikrama Returns 73,2016,TV Series,Mystery,Theatrical,6.1,Kannada
Vikrama Legacy 62,1997,TV Series,"Biography, Sci-Fi, Crime",SonyLIV,7.4,Kannada
Apna Returns 73,2003,TV Series,Romance,Hulu,6.8,Hindi
Yuddha Evolution 26,2009,TV Series,"Fantasy, Crime, Thriller",Amazon Prime,4.2,Kannada
Mauli Forever 18,2016,Movie,"Animation, Action",Disney+,9.2,Marathi
Orma Returns 14,2013,Movie,"Romance, Biography, Action",MX Player,4.2,Malayalam
Raja Returns 6,1994,TV Series,Romance,Amazon Prime,5.2,Kannada
Dharma Evolution 71,2024,Movie,"Fantasy, Action",Hulu,5.7,Kannada
Simha Forever 16,2000,Movie,"Fantasy, Animation, Thriller",Hulu,5.0,Kannada
Premam Chronicles 30,2014,TV Series,Horror,MX Player,8.7,Malayalam
Sankranti Returns 17,2021,Movie,"Drama, Action",Theatrical,8.3,Kannada
Nayakan Legacy 80,2016,TV Series,"Mystery, Horror",Hulu,7.5,Tamil
Yathra Returns 31,2020,TV Series,"Romance, Action, Comedy",HBO Max,7.8,Malayalam
Premam Origin 11,2006,TV Series,"Comedy, History, Horror",SonyLIV,4.0,Malayalam
Raaz Part 2 96,1995,Movie,"Thriller, Biography, Sci-Fi",Theatrical,8.9,Hindi
KGF Chronicles 34,1997,TV Series,"Mystery, Crime, Action",Amazon Prime,4.2,Kannada
Vikrama Forever 55,1998,TV Series,Mystery,Amazon Prime,4.7,Kannada
Journey to Part 2 91,1992,TV Series,"Mystery, Horror, Fantasy",Amazon Prime,8.5,English
Kahaani Chronicles 1,2025,Movie,Drama,Theatrical,0.0,Hindi
Secret Chronicles 48,2013,TV Series,"Comedy, Sci-Fi, Crime",Netflix,8.2,English
Premam Origin 13,1991,Movie,"Biography, Comedy",Apple TV+,7.2,Malayalam
Kahaani Origin 77,2025,Movie,"Thriller, Fantasy, Romance",HBO Max,0.0,Hindi
KGF Part 1 16,2010,TV Series,"History, Action",Apple TV+,7.4,Kannada
KGF Chronicles 21,2000,Movie,"History, Biography",Netflix,7.8,Kannada
Raaz Rebirth 94,2007,TV Series,Biography,Disney+,5.4,Hindi
Journey to Part 1 50,2000,TV Series,Mystery,Disney+,7.4,English
Shadow of Rebirth 89,2007,Movie,"Romance, Animation",Disney+,4.5,English
Pranayam Rebirth 62,2009,TV Series,"Crime, Comedy",HBO Max,4.3,Malayalam
Veedu Chronicles 90,1994,TV Series,Mystery,HBO Max,6.2,Malayalam
Yaara Rebirth 27,2005,TV Series,"Mystery, Horror, Romance",Planet Marathi,8.5,Hindi
Jung Origin 77,1999,TV Series,"Crime, Drama",HBO Max,7.4,Hindi
Aai Part 1 77,2008,Movie,Animation,HBO Max,6.5,Marathi
Raju Origin 68,2019,TV Series,"Fantasy, Comedy, Crime",HBO Max,7.8,Telugu
Baba Evolution 3,1994,Movie,"Sci-Fi, Fantasy, Mystery",Disney+,5.4,Marathi
Prem Chronicles 80,1991,Movie,"Drama, History",Netflix,5.3,Hindi
Veedu Legacy 49,2013,TV Series,"History, Romance",MX Player,5.2,Malayalam
KGF Chronicles 1,2021,TV Series,Comedy,SonyLIV,5.6,Kannada
Yuddha Returns 30,2023,Movie,"Romance, Thriller, History",Planet Marathi,4.3,Kannada
Preethi Chronicles 33,2010,TV Series,"Animation, History",MX Player,5.6,Kannada
Drishyam Part 1 20,2009,Movie,"Action, Drama",Amazon Prime,4.6,Malayalam
Prema Evolution 62,2015,Movie,"History, Fantasy",Planet Marathi,8.2,Telugu
Shadow of Returns 68,2025,Movie,Animation,Planet Marathi,0.0,English
Secret Forever 58,2014,Movie,"Comedy, Romance",Amazon Prime,7.5,English
Dost Origin 62,2025,TV Series,Mystery,Apple TV+,0.0,Hindi
Swapna Forever 4,1995,Movie,Action,Hulu,5.7,Marathi
Baahubali Part 1 11,2017,Movie,History,HBO Max,7.6,Telugu
Vetrimaran Rebirth 46,2006,Movie,"Fantasy, Horror",Disney+,7.2,Tamil
Snehithan Forever 88,2021,TV Series,"Fantasy, History",Disney+,4.6,Malayalam
Kadhal Legacy 12,1998,TV Series,"History, Crime, Biography",Hulu,5.3,Tamil
Thalaiva Chronicles 91,2002,Movie,"Mystery, Biography, Horror",Theatrical,6.7,Tamil
Aai Forever 87,2000,Movie,"Sci-Fi, Mystery, Romance",Disney+,4.1,Marathi
KGF Story 6,1997,Movie,Crime,MX Player,8.1,Kannada
Raja Part 1 34,1996,TV Series,"Action, History",Amazon Prime,9.0,Kannada
Katha Forever 90,2012,TV Series,"Sci-Fi, Crime, Animation",Hulu,5.2,Marathi
Raju Forever 89,1997,Movie,"Horror, Crime",Disney+,7.8,Telugu
Puli Story 95,2015,Movie,History,Disney+,9.2,Tamil
Kantara Part 1 2,2026,Movie,Horror,Planet Marathi,0.0,Kannada
Puli Evolution 51,2009,TV Series,"History, Biography",MX Player,6.3,Tamil
Pranayam Evolution 11,2004,Movie,"Drama, History, Mystery",HBO Max,7.4,Malayalam
KGF Part 2 33,2024,Movie,Animation,Planet Marathi,8.3,Kannada
Achanum Forever 76,2017,Movie,"Romance, Crime",Planet Marathi,5.3,Malayalam
Dharma Part 2 59,2004,Movie,"History, Mystery",SonyLIV,7.9,Kannada
Shadow of Forever 44,2008,Movie,"Fantasy, Comedy",Disney+,5.5,English
Veedu Part 2 71,2009,Movie,Mystery,MX Player,4.6,Malayalam
Safar Rebirth 5,2018,Movie,"Romance, Animation",MX Player,9.3,Hindi
Dharma Forever 53,2019,TV Series,"Animation, Fantasy, Thriller",Disney+,6.7,Kannada
Vikrama Returns 13,2008,TV Series,"Biography, Sci-Fi",HBO Max,4.7,Kannada
Zindagi Legacy 46,2025,Movie,Drama,MX Player,0.0,Hindi
Jung Story 92,2015,TV Series,Crime,Amazon Prime,8.6,Hindi
Veeram Chronicles 79,2013,TV Series,"Biography, Crime, Thriller",Apple TV+,7.9,Tamil
Maitri Story 24,2013,Movie,Fantasy,Amazon Prime,8.2,Marathi
Achanum Returns 73,2001,Movie,"Fantasy, Drama, Romance",Disney+,7.9,Malayalam
Rise of Chronicles 6,1995,Movie,Biography,Theatrical,6.1,English
Sarkar Legacy 39,2005,Movie,Sci-Fi,Theatrical,7.9,Tamil
Raaz Part 1 75,1997,TV Series,Thriller,Disney+,5.4,Hindi
Simha Returns 61,2021,TV Series,Sci-Fi,Theatrical,4.2,Kannada
Dharma Rebirth 53,2014,Movie,"Horror, Thriller, Mystery",Planet Marathi,7.0,Telugu
KGF Origin 1,2011,TV Series,"Thriller, Mystery",Theatrical,6.3,Kannada
Simha Part 1 33,2013,Movie,"Biography, Crime",HBO Max,5.2,Kannada
Katha Origin 32,2025,Movie,"Romance, Action",Apple TV+,0.0,Malayalam
Dharma Story 45,2007,TV Series,"Drama, Action, Crime",Apple TV+,5.3,Kannada
Achanum Forever 46,2013,Movie,"History, Comedy",SonyLIV,8.6,Malayalam
Pushpa Rebirth 7,2005,Movie,Animation,Apple TV+,6.8,Telugu
Katha Forever 69,2011,Movie,Animation,Planet Marathi,4.8,Malayalam
Veeram Forever 8,2004,Movie,"Romance, Thriller",Disney+,4.1,Tamil
Raaz Origin 35,2011,Movie,"Biography, Horror, Fantasy",Theatrical,4.7,Hindi
Yuddham Rebirth 13,2016,TV Series,"Biography, Romance, Animation",Planet Marathi,4.3,Telugu
Yuddha Evolution 46,1996,Movie,"Sci-Fi, History",Apple TV+,5.3,Kannada
Dharma Returns 48,2026,TV Series,"Mystery, Fantasy, Sci-Fi",Amazon Prime,0.0,Telugu
Katha Story 47,2001,TV Series,Comedy,Hulu,7.3,Malayalam
Thalaiva Part 2 76,2014,Movie,History,Amazon Prime,7.2,Tamil
Achanum Forever 8,2020,Movie,Drama,SonyLIV,8.9,Malayalam
Swapna Rebirth 31,2011,Movie,"Action, Thriller",Theatrical,7.3,Marathi
Veeram Origin 31,2012,TV Series,Romance,Hulu,8.5,Tamil
Yathra Forever 23,1998,Movie,"Sci-Fi, Biography",Netflix,4.8,Malayalam
Yathra Returns 11,2025,TV Series,"Thriller, Mystery, Drama",Planet Marathi,0.0,Malayalam
Jung Forever 64,2011,Movie,"Crime, History, Thriller",SonyLIV,9.5,Hindi
Ammayum Part 2 44,2007,TV Series,"Sci-Fi, Romance",Theatrical,6.5,Malayalam
Nayakan Returns 91,2024,TV Series,"Fantasy, Romance",MX Player,8.8,Tamil
Aai Returns 26,1995,TV Series,Fantasy,Amazon Prime,8.7,Marathi
Vetrimaran Evolution 66,1991,TV Series,"Fantasy, Mystery, Comedy",Planet Marathi,7.4,Tamil
Pushpa Rebirth 99,1997,Movie,"Horror, Comedy, Thriller",Planet Marathi,5.5,Telugu
Veedu Part 2 7,2011,TV Series,"Action, Comedy",HBO Max,5.7,Malayalam
Dost Part 1 36,2024,Movie,"Thriller, Action, Drama",Amazon Prime,5.3,Hindi
Sankranthi Part 1 62,1990,Movie,"Thriller, Biography, Animation",Apple TV+,6.9,Telugu
Dost Returns 81,2003,Movie,"Thriller, Romance",Theatrical,9.3,Hindi
Zindagi Story 85,2005,TV Series,Action,Amazon Prime,4.6,Hindi
Dharma Chronicles 50,2012,TV Series,"Drama, Thriller, Comedy",Theatrical,9.1,Kannada
Ammayum Legacy 100,2016,TV Series,"Sci-Fi, Thriller",Netflix,6.3,Malayalam
Dost Forever 23,2018,Movie,"Mystery, Sci-Fi, Thriller",Amazon Prime,4.2,Hindi
Kahaani Origin 10,2020,TV Series,Mystery,Planet Marathi,8.8,Hindi
Simha Evolution 7,1997,Movie,Horror,HBO Max,5.1,Kannada
Dil Part 2 3,1997,Movie,Horror,Hulu,5.0,Hindi
Drishyam Part 2 75,2023,Movie,"Thriller, Comedy, History",SonyLIV,7.6,Malayalam
Dharma Forever 38,1998,Movie,"Comedy, Fantasy, Biography",Amazon Prime,5.9,Telugu
Apna Story 82,2004,TV Series,"Crime, History, Romance",HBO Max,6.6,Hindi
Prema Chronicles 94,2001,TV Series,"Drama, Mystery",Hulu,7.6,Telugu
Anbu Origin 22,2006,Movie,"Fantasy, Action, Horror",SonyLIV,7.4,Tamil
Lost in Chronicles 77,2008,Movie,"Biography, Romance",Disney+,8.0,English
Achanum Origin 21,2021,Movie,Mystery,Disney+,4.4,Malayalam
Anbu Part 1 7,1996,Movie,"Drama, Fantasy, Thriller",Netflix,5.6,Tamil
Asuran Story 33,2026,TV Series,"Action, Romance, Thriller",Netflix,0.0,Tamil
Shadow of Part 1 18,2023,Movie,Romance,Planet Marathi,6.7,English
Prem Part 1 37,2026,Movie,Mystery,Amazon Prime,0.0,Hindi
Safar Part 1 26,1995,TV Series,"Drama, Comedy, Action",Apple TV+,8.3,Hindi
Baahubali Legacy 48,1999,Movie,"Romance, Comedy",Hulu,7.7,Telugu
Pushpa Evolution 44,2014,TV Series,"Animation, Action",MX Player,4.5,Telugu
War for Story 99,2024,TV Series,"Horror, Crime, Sci-Fi",Planet Marathi,6.0,English
Vikram Part 2 52,2024,Movie,"Comedy, Horror",Amazon Prime,4.9,Telugu
Snehithan Chronicles 13,1995,Movie,Biography,Amazon Prime,6.4,Malayalam
Vikrama Rebirth 3,2023,Movie,"Sci-Fi, Action",Amazon Prime,7.7,Kannada
Aai Forever 86,2022,TV Series,"Action, Crime",MX Player,8.2,Marathi
Goshta Returns 37,2003,Movie,"Romance, Thriller",Apple TV+,9.0,Marathi
Baba Part 2 63,2012,Movie,"Romance, Mystery, History",Apple TV+,6.5,Marathi
Sankranthi Story 75,2004,Movie,Mystery,Netflix,7.8,Telugu
Ammayum Chronicles 42,2024,Movie,"Horror, Animation",Hulu,7.2,Malayalam
Katha Origin 49,1998,Movie,"Mystery, Animation",HBO Max,5.5,Marathi
Raaz Forever 56,2024,Movie,"Crime, Mystery",Theatrical,6.6,Hindi
Sankranti Forever 59,2026,TV Series,"Comedy, Horror, Action",Planet Marathi,0.0,Kannada
Kantara Forever 67,2011,TV Series,"Animation, History, Biography",Amazon Prime,5.6,Kannada
Katha Rebirth 46,2017,Movie,Sci-Fi,HBO Max,8.1,Marathi
Baahubali Story 6,1998,Movie,Sci-Fi,Theatrical,8.1,Telugu
Kadhal Story 52,1992,TV Series,"History, Action, Horror",Hulu,8.6,Tamil
Dharma Origin 93,2014,Movie,"Animation, Action, Drama",MX Player,8.4,Telugu
Raaz Returns 62,1996,TV Series,"Animation, Sci-Fi, Comedy",Apple TV+,6.2,Hindi
Kantara Part 2 83,2007,Movie,"Comedy, Horror",HBO Max,6.5,Kannada
Apna Origin 58,2009,Movie,Crime,Theatrical,6.6,Hindi
Empire of Chronicles 60,2003,Movie,"Thriller, Comedy",Hulu,8.4,English
Sarkar Forever 59,2024,Movie,"Crime, Horror",Netflix,6.4,Tamil
Swapna Evolution 4,2017,Movie,"Action, Romance, Comedy",Theatrical,7.5,Marathi
Kadhal Part 2 87,2004,TV Series,"Horror, Thriller",HBO Max,4.6,Tamil
Simham Evolution 63,2025,Movie,"History, Crime, Animation",MX Player,0.0,Telugu
Nayakan Rebirth 93,2006,TV Series,"Comedy, Fantasy",Apple TV+,5.7,Tamil
Legacy of Evolution 6,1996,TV Series,Romance,Theatrical,7.3,English
Yaara Part 1 54,2023,TV Series,"Sci-Fi, History, Action",MX Player,5.5,Hindi
Kadhal Story 59,2007,TV Series,"Horror, Romance, History",Apple TV+,5.7,Tamil
Secret Rebirth 54,2025,TV Series,"Action, Romance, History",Apple TV+,0.0,English
Vikrama Evolution 39,2012,TV Series,"Crime, Biography, History",Apple TV+,7.3,Kannada
Drishyam Origin 67,2001,Movie,"History, Comedy, Action",SonyLIV,5.6,Malayalam
Puli Rebirth 41,2002,TV Series,"Thriller, Animation",Apple TV+,4.9,Tamil
Baba Returns 64,2007,Movie,Mystery,SonyLIV,6.7,Marathi
Baba Returns 29,2002,TV Series,Animation,Planet Marathi,4.8,Marathi
Preethi Story 90,1992,Movie,"Horror, History, Crime",Netflix,8.3,Kannada
Veeram Returns 3,2010,TV Series,"Animation, Mystery, Romance",Amazon Prime,6.7,Tamil
Dharma Forever 86,2009,Movie,"Sci-Fi, Drama, Crime",Planet Marathi,5.1,Kannada
Raja Forever 48,2010,Movie,"Romance, History",Apple TV+,4.6,Kannada
Yaara Origin 49,2008,Movie,"Crime, Action, Horror",Theatrical,9.2,Hindi
Drishyam Rebirth 65,2025,Movie,"Crime, Fantasy, Horror",Apple TV+,0.0,Malayalam
Asuran Part 1 84,1997,TV Series,"Animation, Action, Fantasy",Disney+,5.8,Tamil
Rise of Evolution 64,2006,TV Series,"Action, Animation, Thriller",Disney+,6.3,English
Preethi Chronicles 44,2015,TV Series,"Fantasy, Horror, Sci-Fi",Theatrical,6.5,Kannada
Katha Part 2 63,2011,TV Series,Sci-Fi,Theatrical,8.8,Marathi
Beyond the Part 2 42,2020,Movie,Sci-Fi,SonyLIV,6.6,English
Apna Part 2 50,1999,TV Series,Comedy,Planet Marathi,5.8,Hindi
Snehithan Story 65,2009,Movie,"Sci-Fi, Comedy",Netflix,5.7,Malayalam
Lost in Story 84,2023,Movie,Crime,Apple TV+,6.7,English
Veedu Part 1 35,2000,Movie,Fantasy,HBO Max,8.9,Malayalam
Asuran Rebirth 44,2002,TV Series,"History, Comedy",MX Player,4.1,Tamil
Sankranti Rebirth 90,2025,TV Series,"Horror, History, Biography",Theatrical,0.0,Kannada
Nayak Part 1 92,2024,TV Series,"Animation, Romance",Planet Marathi,7.6,Kannada
Simham Evolution 70,2012,TV Series,"Biography, Thriller",SonyLIV,8.5,Telugu
Achanum Forever 31,1998,TV Series,"Horror, Action, Crime",Planet Marathi,8.7,Malayalam
Yuddham Legacy 66,2018,Movie,Thriller,Planet Marathi,7.8,Telugu
Raaz Legacy 73,2007,TV Series,"Horror, Mystery",Disney+,4.6,Hindi
Kantara Part 1 64,2019,TV Series,"Animation, Action",Apple TV+,8.0,Kannada
Empire of Origin 8,2001,TV Series,Comedy,SonyLIV,6.2,English
Prem Evolution 97,2003,Movie,"Drama, Action, Mystery",Disney+,8.0,Hindi
Yuddham Legacy 35,2010,Movie,"Romance, Crime",Planet Marathi,8.0,Telugu
Achanum Part 2 63,1994,Movie,"Horror, Comedy, Action",SonyLIV,4.9,Malayalam
Baahubali Evolution 43,2002,Movie,"Romance, Sci-Fi",MX Player,4.9,Telugu
Katha Origin 73,2021,TV Series,"Romance, Thriller, Comedy",HBO Max,7.3,Malayalam
Singam Part 2 65,2019,Movie,"Romance, Crime, Fantasy",Disney+,4.4,Tamil
Legacy of Part 1 5,2010,Movie,"Fantasy, Thriller, History",Netflix,4.0,English
Vetrimaran Part 1 94,2021,TV Series,"Fantasy, Mystery",HBO Max,6.0,Tamil
Singam Origin 79,1990,Movie,"Crime, Animation, Drama",Planet Marathi,5.9,Tamil
Premam Legacy 70,2007,TV Series,Fantasy,Disney+,4.7,Malayalam
Legacy of Returns 71,1992,TV Series,"History, Fantasy",Apple TV+,6.2,English
Zindagi Evolution 8,2014,TV Series,"Biography, Sci-Fi",MX Player,4.9,Hindi
Prema Part 2 15,2004,Movie,"Drama, Fantasy",Planet Marathi,6.4,Telugu
The Last Legacy 51,1995,TV Series,"Sci-Fi, Horror",Netflix,5.4,English
Nayak Evolution 45,2011,Movie,"Horror, Fantasy, Action",Theatrical,4.5,Kannada
Dost Returns 65,2006,TV Series,"Mystery, Fantasy, Sci-Fi",HBO Max,5.9,Hindi
Snehithan Story 50,2007,Movie,"Drama, History",HBO Max,5.7,Malayalam
Pranayam Origin 95,2025,TV Series,"History, Comedy",Apple TV+,0.0,Malayalam
Premam Story 89,2016,TV Series,Thriller,Theatrical,4.1,Malayalam
Vikrama Chronicles 78,2003,Movie,"Crime, Action, History",Hulu,5.9,Kannada
Simham Evolution 89,1994,Movie,"Thriller, Drama",MX Player,7.5,Telugu
